更新时间,#genre#
2025-03-11 06:38:42,url
央视频道,#genre#
CCTV1 综合,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://117.27.190.42:9998/tsfile/live/23232_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://58.220.219.14:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://218.3.138.25:1111/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://39.164.223.174:7799/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://223.241.247.214:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://39.164.223.174:7799udp://@224.1.1.1:10001
CCTV1 综合,http://116.128.242.83:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://118.122.189.74:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://123.138.22.30:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://61.136.67.238:50085/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://220.164.192.48:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1 综合,http://124.128.73.58:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://183.223.157.33:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://58.19.38.162:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://113.57.20.158:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://111.9.163.109:9901/tsfile/live/0001_1.m3u8
CCTV1 综合,https://api.olelive.com/dis/live/CCTV1HD/hls.m3u8$1920x1080
CCTV1 综合,http://120.76.248.139/live/bfgd/4200000488.m3u8
CCTV1 综合,http://120.76.248.139/live/bfgd/4200000484.m3u8
CCTV1 综合,http://61.136.172.236:9901/tsfile/live/0001_1.m3u8
CCTV1 综合,http://61.138.128.226:19901/tsfile/live/0001_1.m3u8
CCTV1 综合,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8
CCTV1 综合,http://58.19.43.46:9901/tsfile/live/1020_1.m3u8
CCTV1 综合,http://113.57.93.165:9900/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1 综合,http://110.80.17.38:9901/tsfile/live/0001_1.m3u8
CCTV1 综合,http://183.66.15.146:60901/tsfile/live/0001_1.m3u8
CCTV1 综合,http://121.33.239.242:9901/tsfile/live/0001_1.m3u8
CCTV2 财经,http://111.9.163.109:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://39.164.223.174:7799udp://@224.1.1.2:10002
CCTV2 财经,http://61.136.172.236:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://124.128.73.58:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://220.249.114.102:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://118.122.189.74:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://116.128.242.83:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://61.136.67.238:50085/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://223.241.247.214:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://113.57.20.158:9901/tsfile/live/1021_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://61.138.128.226:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://58.220.219.14:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://117.27.190.42:9998/tsfile/live/23233_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://123.138.22.30:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://58.19.38.162:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://183.223.157.33:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://39.164.223.174:7799/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://220.164.192.48:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2 财经,http://121.33.239.242:9901/tsfile/live/0002_1.m3u8
CCTV2 财经,http://113.57.93.165:9900/tsfile/live/0002_1.m3u8
CCTV2 财经,http://z.b.bkpcp.top/m.php?id=cctv2$1920x1080
CCTV2 财经,http://183.66.15.146:60901/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2 财经,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1.m3u8?channel-id=ystenlive&Contentid=1000000001000023315&livemode=1&stbId=3
CCTV2 财经,http://58.19.43.46:9901/tsfile/live/1021_1.m3u8
CCTV2 财经,http://218.89.240.144:59901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://218.3.138.25:1111/tsfile/live/1001_1.m3u8
CCTV2 财经,http://183.66.15.146:60901/tsfile/live/0002_1.m3u8
CCTV2 财经,http://112.123.206.32:808/hls/2/index.m3u8
CCTV2 财经,http://61.156.228.12:8154/tsfile/live/0002_1.m3u8
CCTV3 综艺,http://117.27.190.42:9998/tsfile/live/23234_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://220.249.114.102:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://220.164.192.48:50085/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3 综艺,http://223.241.247.214:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://111.9.163.109:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://118.122.189.74:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://39.164.223.174:7799udp://@224.1.1.3:10003
CCTV3 综艺,http://124.128.73.58:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://61.136.172.236:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://61.138.128.226:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://61.136.67.238:50085/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://218.3.138.25:1111/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://123.138.22.30:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://183.223.157.33:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://58.19.38.162:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://113.57.20.158:9901/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://58.220.219.14:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://39.164.223.174:7799/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://61.138.128.226:19901/tsfile/live/0003_1.m3u8
CCTV3 综艺,http://61.136.172.236:9901/tsfile/live/0003_1.m3u8
CCTV3 综艺,http://116.128.242.83:9901/tsfile/live/0003_2.m3u8
CCTV3 综艺,http://110.80.17.38:9901/tsfile/live/0003_1.m3u8
CCTV3 综艺,http://218.89.240.144:59901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://218.89.240.144:59901/tsfile/live/0003_1.m3u8
CCTV3 综艺,http://121.19.134.222:808/tsfile/live/0003_1.m3u8
CCTV3 综艺,http://113.57.93.165:9900/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://120.76.248.139/live/bfgd/4200000062.m3u8
CCTV3 综艺,http://61.136.67.238:50085/tsfile/live/0003_1.m3u8
CCTV3 综艺,http://218.3.138.25:1111/tsfile/live/1002_1.m3u8
CCTV3 综艺,http://183.66.15.146:60901/tsfile/live/0003_1.m3u8
